,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6
cell_798,28,26,1324,13,4,19
cell_799,17,6,24,828,2012,20
cell_800,26,1009,20,20,1,47
cell_801,16,10,6,32,998,24
cell_802,19,792,42,29,2,14
cell_803,53,27,8,424,21,74
cell_804,9,3,42,12,22,526
cell_805,18,29,1208,21,9,2
cell_806,9,583,4,25,36,23
cell_807,1292,11,17,18,20,24
cell_808,21,1100,40,4,22,13
cell_809,22,15,13,22,46,550
cell_810,17,937,18,4,3,6
cell_811,28,31,25,11,9,706
cell_812,2047,8,495,10,23,26
cell_813,29,12,7,1191,10,1
cell_814,622,18,6,27,6,29
cell_815,37,19,8,24,25,6
cell_816,14,1,21,13,53,1476
cell_817,50,29,8,75,756,29
cell_818,36,10,38,24,23,1539
cell_819,24,1521,20,5,24,3
cell_820,1454,13,1,37,2,17
cell_821,8,36,12,4,21,1379
cell_822,13,3,1186,4,41,5
cell_823,5,28,17,835,26,3
cell_824,30,0,1163,27,22,19
cell_825,25,6,5,595,13,8
cell_826,1484,9,27,23,14,32
cell_827,26,11,8,9,575,22
cell_828,59,308,26,19,6,12
cell_829,40,7,21,39,9,1655
cell_830,24,836,12,36,12,944
cell_831,13,1056,1148,17,3,15
cell_832,7,17,20,21,1205,20
cell_833,47,1607,6,13,6,42
cell_834,58,1476,11,20,20,22
cell_835,1347,25,18,19,25,22
cell_836,11,26,990,1229,10,16
cell_837,733,9,39,37,25,14
cell_838,1014,26,36,24,4,17
cell_839,0,8,6,312,8,23
cell_840,28,0,33,914,29,29
cell_841,11,5,14,19,699,39
cell_842,33,47,10,37,1027,36
cell_843,40,1145,47,18,6,13
cell_844,27,23,12,37,0,1170
cell_845,29,630,30,24,9,16
cell_846,3,31,12,5,27,8
cell_847,19,18,348,39,24,9
cell_848,26,16,33,930,21,43
cell_849,20,24,18,7,9,726
cell_850,3,19,502,10,17,3
cell_851,42,31,3,0,9,3
cell_852,17,28,2420,38,15,2088
cell_853,1309,23,19,22,18,11
cell_854,24,28,2,1131,22,11
cell_855,13,7,44,1591,962,44
cell_856,10,35,3,8,1022,27
cell_857,1336,16,8,7,12,11
cell_858,25,12,22,1,861,38
cell_859,10,7,30,18,7,787
cell_860,352,12,8,3,11,9
cell_861,28,870,46,13,25,2
cell_862,6,43,4,58,1646,43
cell_863,30,11,23,1,4,208
cell_864,53,24,6,809,68,12
cell_865,5,1275,16,25,53,8
cell_866,21,35,9,23,28,329
cell_867,699,47,25,2,10,27
cell_868,76,7,29,11,18,1032
cell_869,11,13,36,32,20,1500
cell_870,51,37,1395,6,15,16
cell_871,700,48,3,8,62,4
cell_872,51,5,20,28,577,3
cell_873,19,8,2,16,2,979
cell_874,1529,15,2,51,18,55
cell_875,32,14,686,571,31,35
cell_876,7,4,27,11,27,638
cell_877,17,33,22,998,17,18
cell_878,1172,18,29,26,7,23
cell_879,21,595,2,7,23,21
cell_880,18,1777,4,65,24,9
cell_881,29,10,25,4,24,950
cell_882,1113,24,23,55,1060,30
cell_883,4,721,28,0,26,8
cell_884,48,4,9,21,999,10
cell_885,7,830,35,15,395,18
cell_886,30,444,12,23,18,25
cell_887,20,1,1246,2,28,14
cell_888,45,5,4,12,643,17
cell_889,7,8,2,50,1147,13
cell_890,4,25,13,580,15,28
cell_891,2,4,40,930,656,14
cell_892,11,15,28,4,55,747
cell_893,15,57,1488,14,1872,20
cell_894,20,2,6,11,789,0
cell_895,17,970,31,12,14,35
cell_896,812,2,25,19,39,2
cell_897,21,42,13,30,810,2
cell_898,17,13,2,1133,41,701
cell_899,25,1598,34,23,4,28
cell_900,1,8,19,36,4,67
cell_901,0,29,21,14,1306,7
cell_902,8,911,28,27,10,3
cell_903,21,21,42,32,982,4
cell_904,26,4,45,8,701,26
cell_905,9,15,22,901,44,18
cell_906,18,33,446,37,14,13
cell_907,850,8,29,12,7,17
cell_908,691,19,18,49,18,16
cell_909,4,1107,14,17,4,33
cell_910,790,0,36,22,5,12
cell_911,9,27,4,2,5,954
cell_912,922,10,9,612,11,30
cell_913,26,13,13,31,4,1184
cell_914,15,21,1296,7,3,43
cell_915,728,14,5,7,15,77
cell_916,9,500,1,8,33,8
cell_917,9,41,1281,1518,5,16
cell_918,21,26,68,976,12,42
cell_919,2072,12,30,11,50,35
cell_920,805,29,5,4,28,6
cell_921,14,29,18,44,68,9
cell_922,1488,10,36,27,7,2
cell_923,993,5,71,11,15,14
cell_924,26,19,12,8,1539,18
cell_925,26,15,10,37,14,32
cell_926,7,10,7,737,30,12
cell_927,642,51,42,37,4,3
cell_928,11,17,1524,28,29,15
cell_929,6,16,1576,24,1063,0
cell_930,25,7,29,12,483,3
cell_931,25,34,8,458,15,35
cell_932,1596,20,15,27,37,22
cell_933,20,17,22,24,9,25
cell_934,34,13,35,38,1242,26
cell_935,15,34,10,3,29,4
cell_936,10,64,8,989,13,31
cell_937,9,1,20,653,16,12
cell_938,29,728,2,18,1552,7
cell_939,649,30,16,16,9,27
cell_940,28,17,25,34,21,2221
cell_941,50,80,581,3,7,18
cell_942,10,4,29,355,40,15
cell_943,10,9,21,16,62,1478
cell_944,13,32,609,5,7,366
cell_945,941,35,4,18,7,47
cell_946,12,17,11,1530,19,11
cell_947,4,1353,1,1,9,21
cell_948,15,7,64,55,9,1150
cell_949,37,36,2,1426,48,1
cell_950,10,1,6,757,4,51
cell_951,27,17,21,8,37,1051
cell_952,594,11,31,9,25,12
cell_953,14,26,1230,17,16,9
cell_954,10,34,824,6,22,14
cell_955,37,21,60,64,8,4
cell_956,2,37,23,28,25,1686
cell_957,50,12,18,650,10,55
cell_958,23,31,15,7,1238,0
cell_959,24,1021,15,11,43,12
cell_960,16,633,21,22,56,13
cell_961,26,7,10,756,8,40
cell_962,42,48,13,14,22,4
cell_963,28,12,8,1007,13,12
cell_964,30,28,19,850,6,10
cell_965,15,20,28,1145,14,10
cell_966,25,614,10,17,28,23
cell_967,23,17,7,8,28,30
cell_968,11,18,813,25,15,39
cell_969,54,350,12,26,19,13
cell_970,4,1308,17,8,14,4
cell_971,13,26,24,19,361,26
cell_972,16,9,996,8,25,23
cell_973,3,20,9,22,25,1379
cell_974,35,26,22,2,41,1081
cell_975,75,40,831,19,1193,9
cell_976,10,759,29,9,32,18
cell_977,36,31,1,1158,22,32
cell_978,1112,30,13,12,18,9
cell_979,23,1782,17,33,18,15
cell_980,1302,10,4,10,6,48
cell_981,12,9,66,892,19,9
cell_982,11,31,837,16,19,12
cell_983,31,26,34,460,7,10
cell_984,910,3,16,23,15,9
cell_985,32,10,5,25,1128,693
cell_986,11,422,60,11,27,951
cell_987,9,18,1156,9,16,26
cell_988,872,6,4,62,18,41
cell_989,42,21,10,12,18,19
cell_990,49,17,12,13,33,188
cell_991,909,23,8,22,17,7
cell_992,801,11,25,8,1,32
cell_993,5,16,27,1467,10,12
cell_994,55,17,14,884,63,32
cell_995,1457,33,32,52,18,6
cell_996,12,51,9,10,499,34
cell_997,8,1457,21,9,23,21
cell_998,1,27,18,8,1162,0
cell_999,11,28,1403,30,12,35
cell_1000,21,798,22,5,31,34
cell_1001,11,30,22,666,17,39
cell_1002,13,22,15,38,843,23
cell_1003,46,32,846,20,29,13
cell_1004,22,564,16,6,12,25
cell_1005,14,53,3,4,20,734
cell_1006,15,17,6,61,15,40
cell_1007,643,14,16,69,10,18
cell_1008,14,6,6,13,679,37
cell_1009,5,44,3,19,1045,37
cell_1010,37,16,7,30,2078,49
cell_1011,25,1045,32,25,45,45
cell_1012,7,832,23,21,16,50
cell_1013,2260,11,7,6,14,28
cell_1014,839,37,5,22,27,12
cell_1015,22,11,1263,38,4,1
cell_1016,12,573,50,23,12,75
cell_1017,57,75,930,8,23,6
cell_1018,3,26,54,8,10,12
cell_1019,38,17,20,6,35,8
cell_1020,33,1679,31,29,8,891
cell_1021,2,33,15,3,1,713
cell_1022,7,5,33,19,9,39
cell_1023,40,12,28,3,330,18
cell_1024,17,5,60,15,11,843
cell_1025,33,10,1192,27,19,14
cell_1026,7,17,14,40,5,608
cell_1027,363,30,757,67,1,27
cell_1028,10,20,994,6,6,52
cell_1029,4,10,28,13,25,757
cell_1030,13,793,49,17,23,29
cell_1031,1755,14,3,38,10,18
cell_1032,16,76,622,5,31,36
cell_1033,22,1178,63,28,20,2
cell_1034,0,4,752,14,22,5
cell_1035,14,294,29,4,9,2
cell_1036,20,33,64,27,1430,24
cell_1037,14,4,103,3,1875,1
cell_1038,8,5,6,10,1210,22
cell_1039,5,2,9,14,1352,15
cell_1040,8,12,1654,3,33,9
cell_1041,11,12,3,6,897,0
cell_1042,43,9,16,1073,17,39
cell_1043,16,30,21,17,6,702
cell_1044,4,8,8,24,22,1541
cell_1045,21,40,2165,22,15,12
cell_1046,15,13,23,36,0,817
cell_1047,17,9,11,559,39,62
cell_1048,5,5,784,4,7,33
cell_1049,4,2,58,94,1017,20
cell_1050,23,747,25,37,17,28
cell_1051,12,1039,41,13,12,29
cell_1052,7,8,1558,987,54,46
cell_1053,14,32,1232,43,5,19
cell_1054,51,19,1190,17,15,20
cell_1055,28,4,23,25,962,17
cell_1056,16,13,336,1,0,21
cell_1057,19,12,1077,6,39,30
cell_1058,14,26,46,868,18,4
cell_1059,37,13,7,16,1294,9
cell_1060,14,7,1936,6,9,28
cell_1061,2,15,60,444,21,23
cell_1062,611,1006,7,19,12,21
cell_1063,7,17,10,19,8,8
cell_1064,31,974,23,25,24,12
cell_1065,15,1008,6,43,48,11
cell_1066,15,962,8,18,5,14
cell_1067,29,590,45,13,9,24
cell_1068,4,15,28,853,31,30
cell_1069,63,1354,1,13,0,24
cell_1070,7,33,1286,19,785,30
cell_1071,3,14,772,4,5,2
cell_1072,10,23,3,46,15,15
cell_1073,20,3,14,2,705,5
cell_1074,11,23,59,28,1351,29
cell_1075,6,11,1970,20,55,4
cell_1076,12,34,26,4,11,448
cell_1077,8,11,18,1355,36,19
cell_1078,14,38,24,10,30,1795
cell_1079,10,23,966,19,2,29
cell_1080,9,34,1132,26,6,24
cell_1081,6,37,28,8,22,1515
cell_1082,1093,23,20,17,6,41
cell_1083,13,19,1394,10,23,6
cell_1084,55,11,20,29,1578,18
cell_1085,927,18,22,58,11,39
cell_1086,12,16,4,14,855,3
cell_1087,41,9,803,25,7,45
cell_1088,24,13,47,34,1,1387
cell_1089,20,7,28,451,5,53
cell_1090,13,15,59,1086,19,33
cell_1091,11,31,10,10,1,1036
cell_1092,43,9,1288,20,39,9
cell_1093,37,20,48,773,14,16
cell_1094,579,9,24,16,19,10
cell_1095,2214,14,22,25,7,5
cell_1096,13,10,11,1191,45,59
cell_1097,26,9,580,666,49,22
cell_1098,8,781,25,50,30,23
cell_1099,12,39,1415,18,8,1
cell_1100,16,23,40,18,19,1015
cell_1101,37,2,9,26,826,3
cell_1102,10,11,14,2000,4,1
cell_1103,11,27,13,24,670,11
cell_1104,757,22,1442,25,3,5
cell_1105,10,942,12,44,1040,9
cell_1106,51,39,21,1202,1,16
cell_1107,19,16,16,1967,13,20
cell_1108,15,7,52,7,1472,10
cell_1109,20,8,40,2327,20,31
cell_1110,20,35,36,11,45,36
cell_1111,462,24,13,3,10,9
cell_1112,14,17,11,10,643,28
cell_1113,11,614,28,9,13,22
cell_1114,375,25,19,16,8,19
cell_1115,590,46,9,1473,12,26
cell_1116,16,11,19,44,1022,41
cell_1117,8,58,11,21,12,2
cell_1118,29,92,757,13,21,26
cell_1119,10,22,12,29,1177,9
cell_1120,13,23,35,25,27,1493
cell_1121,15,1144,13,10,1,30
cell_1122,30,2,1186,38,28,53
cell_1123,8,2,25,19,1167,22
cell_1124,29,5,487,16,23,12
cell_1125,16,12,20,1298,23,30
cell_1126,13,2,21,1344,54,15
cell_1127,7,1135,28,16,29,30
cell_1128,5,835,9,7,14,13
cell_1129,14,13,30,6,7,1489
cell_1130,7,3,64,27,13,608
cell_1131,7,19,14,28,32,758
cell_1132,29,1047,6,15,7,23
cell_1133,8,31,34,48,525,22
cell_1134,52,18,27,41,35,1136
cell_1135,8,10,809,11,12,17
cell_1136,3,52,5,25,26,1210
cell_1137,21,7,596,2,5,6
cell_1138,25,0,1396,18,53,31
cell_1139,15,32,1193,23,4,23
cell_1140,10,18,22,1484,7,18
cell_1141,957,22,10,15,30,47
cell_1142,36,6,4,1217,7,14
cell_1143,9,4,1092,9,10,7
cell_1144,5,33,6,743,4,28
cell_1145,3,29,19,381,9,38
cell_1146,4,579,9,14,2,41
cell_1147,8,1450,21,49,2,40
cell_1148,973,41,28,9,19,35
cell_1149,42,10,2031,42,62,20
cell_1150,37,1104,12,43,33,15
cell_1151,44,11,768,6,26,29
cell_1152,22,25,16,1045,16,8
cell_1153,14,21,468,21,55,36
cell_1154,13,38,17,7,331,32
cell_1155,3,44,7,13,633,22
cell_1156,15,369,5,34,6,6
cell_1157,2,34,27,29,29,1438
cell_1158,815,39,8,4,7,23
cell_1159,38,11,23,1452,7,8
cell_1160,925,0,17,4,5,13
cell_1161,20,34,19,1671,27,13
cell_1162,493,13,1407,2,6,22
cell_1163,9,3,10,26,694,19
cell_1164,18,30,27,8,11,830
cell_1165,10,8,35,24,1410,26
cell_1166,38,46,836,18,1,16
cell_1167,8,12,677,6,35,4
cell_1168,13,7,16,1,1161,17
cell_1169,1,7,15,19,45,1250
cell_1170,16,12,12,24,19,323
cell_1171,67,28,914,21,19,9
cell_1172,49,10,26,16,11,1861
cell_1173,13,21,21,19,689,11
cell_1174,1036,6,11,10,17,24
cell_1175,6,20,426,945,53,31
cell_1176,21,9,1189,15,9,10
cell_1177,1319,79,7,20,7,22
cell_1178,10,45,1585,11,22,22
cell_1179,4,33,9,33,8,700
cell_1180,25,19,6,21,38,1202
cell_1181,15,4,14,8,24,291
cell_1182,14,3,57,17,513,22
cell_1183,13,42,25,9,1110,35
cell_1184,1,20,885,20,34,12
cell_1185,4,35,1317,25,1,7
cell_1186,31,54,6,313,10,23
cell_1187,1397,13,19,2,12,26
cell_1188,683,23,32,37,8,17
cell_1189,34,10,9,832,15,62
cell_1190,27,83,41,50,12,2
cell_1191,837,18,2,12,3,16
cell_1192,54,13,642,1,12,0
cell_1193,932,2,7,4,39,28
cell_1194,16,2,2,21,546,6
cell_1195,8,1079,22,28,20,70
cell_1196,27,14,8,1,24,365
cell_1197,11,47,11,14,27,36
cell_1198,29,3,6,1345,7,7
cell_1199,26,2,8,30,1242,6
cell_1200,1662,24,7,14,14,2086
cell_1201,37,6,3,35,833,17
cell_1202,37,40,956,48,19,19
cell_1203,5,4,21,12,718,47
cell_1204,90,43,12,2750,40,9
cell_1205,16,16,1101,24,4,18
cell_1206,15,53,12,1039,24,8
cell_1207,27,9,25,23,8,643
cell_1208,645,8,16,4,50,18
cell_1209,26,11,28,1149,17,26
cell_1210,544,13,6,932,4,45
cell_1211,31,1536,2,4,16,22
cell_1212,1404,15,23,37,31,22
cell_1213,18,9,0,10,32,639
cell_1214,480,5,10,40,32,13
cell_1215,1,8,2,18,28,37
cell_1216,16,1150,43,10,25,21
cell_1217,28,17,24,11,13,7
cell_1218,18,32,9,52,23,1113
cell_1219,667,24,30,9,12,61
cell_1220,41,34,21,4,24,45
cell_1221,3,26,1,6,11,1214
cell_1222,1264,50,11,5,26,14
cell_1223,15,54,864,34,16,22
cell_1224,14,4,45,2,620,16
cell_1225,9,3,27,717,33,18
cell_1226,4,7,49,7,17,32
cell_1227,1,6,4,12,33,13
cell_1228,17,14,23,10,37,956
cell_1229,28,15,5,33,1590,18
cell_1230,878,8,19,23,38,13
cell_1231,40,11,47,29,2181,7
cell_1232,45,613,11,44,28,24
cell_1233,1697,12,23,8,16,951
cell_1234,8,43,900,1637,9,19
cell_1235,25,8,1021,7,12,17
cell_1236,1774,7,4,4,14,28
cell_1237,559,26,51,38,7,21
cell_1238,15,24,5,8,21,862
cell_1239,7,504,7,9,44,22
cell_1240,2,14,9,50,39,729
cell_1241,10,292,12,62,12,3
cell_1242,19,6,6,436,26,8
cell_1243,24,841,9,29,54,73
cell_1244,7,42,14,1063,12,20
cell_1245,6,8,732,14,18,27
cell_1246,868,16,24,23,3,46
cell_1247,1785,23,14,32,29,1135
cell_1248,15,15,34,19,1355,15
cell_1249,3,19,1266,8,0,25
cell_1250,3,850,15,31,17,8
cell_1251,7,791,19,36,26,36
cell_1252,16,7,58,16,17,1691
cell_1253,19,11,4,10,18,923
cell_1254,28,17,11,642,23,19
cell_1255,33,18,714,38,50,23
cell_1256,3,903,5,19,16,17
cell_1257,7,14,20,1391,61,15
cell_1258,31,916,12,2173,21,6
cell_1259,45,10,1537,5,4,1
cell_1260,15,14,18,7,1,249
cell_1261,38,48,19,15,5,887
cell_1262,10,9,28,11,43,2008
cell_1263,14,11,24,17,11,6
cell_1264,974,14,5,14,27,12
cell_1265,9,16,46,17,1469,7
cell_1266,1116,3,71,27,45,25
cell_1267,16,6,17,42,30,688
cell_1268,11,1874,15,13,27,2
cell_1269,5,8,21,1407,5,15
cell_1270,1,20,38,15,37,1962
cell_1271,23,21,28,2289,19,1
cell_1272,49,13,42,23,8,7
cell_1273,772,64,55,820,6,12
cell_1274,20,30,17,996,51,24
cell_1275,33,36,31,28,792,841
cell_1276,11,27,2,1644,13,30
cell_1277,1194,7,7,26,12,18
cell_1278,1824,3,34,14,29,36
cell_1279,16,9,1,4,11,2128
cell_1280,519,18,15,8,8,43
cell_1281,7,15,829,14,54,4
cell_1282,50,2014,6,3,9,4
cell_1283,17,1174,38,19,12,11
cell_1284,13,15,15,10,11,1644
cell_1285,25,14,35,12,2275,22
cell_1286,30,64,635,16,5,16
cell_1287,18,7,3,1448,18,14
cell_1288,18,21,22,33,1239,54
cell_1289,6,37,15,22,48,557
cell_1290,5,27,6,960,28,6
cell_1291,28,15,12,1410,16,3
cell_1292,1283,1,22,18,1,32
cell_1293,9,9,7,801,5,15
cell_1294,693,11,2,17,12,2
cell_1295,1148,65,19,12,25,17
cell_1296,25,4,1581,45,28,7
cell_1297,8,20,11,1066,21,8
cell_1298,12,2,954,7,18,900
cell_1299,9,23,16,36,23,1409
cell_1300,9,2243,49,16,26,8
cell_1301,33,25,21,9,1214,3
cell_1302,30,25,2108,21,22,20
cell_1303,1201,7,46,16,72,45
cell_1304,8,21,1237,15,29,11
cell_1305,12,2,1644,18,6,12
cell_1306,9,41,661,9,15,42
cell_1307,19,31,11,18,13,548
cell_1308,4,12,23,1055,12,12
cell_1309,647,15,0,41,14,4
cell_1310,1450,8,14,11,44,3
cell_1311,17,9,7,1100,0,18
cell_1312,1045,41,27,9,26,11
cell_1313,1,33,11,9,11,19
cell_1314,33,5,906,9,900,13
cell_1315,1175,47,50,19,16,20
cell_1316,47,8,429,822,4,15
cell_1317,26,19,32,12,33,536
cell_1318,25,10,1090,30,11,29
cell_1319,26,547,10,12,16,13
cell_1320,12,10,19,37,585,11
cell_1321,547,15,6,28,35,24
cell_1322,27,816,12,14,19,2
cell_1323,67,10,4,27,10,1193
cell_1324,27,4,13,24,21,74
cell_1325,852,8,6,8,0,57
cell_1326,32,25,7,3,1283,6
cell_1327,31,12,1756,3,9,33
cell_1328,8,8,12,1912,11,6
cell_1329,958,25,8,12,8,1
cell_1330,9,38,2,45,11,64
cell_1331,16,54,27,19,4,1385
cell_1332,903,59,28,20,8,50
cell_1333,17,22,15,1327,57,26
cell_1334,15,1153,3,6,9,20
cell_1335,40,30,11,694,4,12
cell_1336,13,51,9,7,354,21
cell_1337,6,968,11,31,10,22
cell_1338,21,13,37,9,12,6
cell_1339,40,17,41,16,743,3
cell_1340,12,2,18,8,2007,10
cell_1341,13,17,515,25,15,19
cell_1342,18,19,423,13,23,6
cell_1343,4,855,8,27,6,36
cell_1344,17,378,12,19,26,6
cell_1345,17,49,3,20,16,1448
cell_1346,1016,16,14,22,11,13
cell_1347,10,18,13,832,19,2
cell_1348,22,16,28,976,8,77
cell_1349,42,24,9,297,23,78
cell_1350,17,23,15,14,28,877
cell_1351,39,13,0,691,28,5
cell_1352,545,25,33,7,8,20
cell_1353,19,36,13,2,457,15
cell_1354,41,23,721,55,15,1267
cell_1355,24,941,13,27,29,16
cell_1356,882,3,15,4,59,23
cell_1357,691,42,5,30,29,3
cell_1358,5,38,22,58,17,885
cell_1359,7,6,1017,25,26,16
cell_1360,2,18,1568,50,37,12
cell_1361,34,199,13,4,31,5
cell_1362,27,21,14,1,25,745
cell_1363,4,35,40,25,1088,16
cell_1364,641,4,17,61,37,47
cell_1365,10,20,18,371,21,23
cell_1366,32,5,28,18,24,940
cell_1367,14,30,8,10,22,5
cell_1368,72,8,8,61,5,776
cell_1369,21,18,3,468,13,7
cell_1370,11,17,10,7,129,380
cell_1371,618,52,9,22,16,3
cell_1372,13,1041,9,5,2,34
cell_1373,17,14,19,26,16,24
cell_1374,1335,19,9,809,19,10
cell_1375,35,15,16,26,17,1271
cell_1376,28,27,1541,4,1,36
cell_1377,14,18,17,1261,30,8
cell_1378,15,23,155,20,2,18
cell_1379,403,5,418,21,19,23
cell_1380,11,1,1175,30,13,45
cell_1381,14,24,30,10,8,882
cell_1382,43,6,2,1121,15,8
cell_1383,11,823,24,52,41,30
cell_1384,5,22,507,40,38,30
cell_1385,25,12,8,48,1160,17
cell_1386,7,38,921,58,563,1
cell_1387,23,700,28,23,16,27
cell_1388,11,32,20,2,6,644
cell_1389,33,4,52,15,22,1104
cell_1390,17,59,19,40,700,7
cell_1391,770,9,34,8,7,6
cell_1392,12,546,32,720,24,46
cell_1393,14,30,12,1229,12,12
cell_1394,8,17,9,597,6,4
cell_1395,11,30,3,18,960,13
cell_1396,1397,8,22,19,1199,5
cell_1397,30,0,1386,11,5,0
cell_1398,4,26,15,51,29,1917
cell_1399,32,6,1376,4,11,4
cell_1400,4,11,44,1288,16,32
cell_1401,1434,43,29,11,16,9
cell_1402,39,15,32,996,6,8
cell_1403,27,66,3,563,18,21
cell_1404,13,35,12,35,16,1762
cell_1405,1064,2,14,9,11,24
cell_1406,20,1421,511,14,8,11
cell_1407,557,14,10,9,11,18
cell_1408,27,6,10,1102,5,23
cell_1409,7,11,1,972,35,31
cell_1410,20,45,6,2664,9,10
cell_1411,33,47,49,14,8,813
cell_1412,15,19,20,1381,28,5
cell_1413,27,17,9,27,1034,29
cell_1414,19,3,999,37,14,10
cell_1415,40,25,11,6,14,793
cell_1416,2,11,2,568,22,11
cell_1417,24,19,24,24,13,13
cell_1418,22,7,15,21,15,1230
cell_1419,1351,9,43,29,10,6
cell_1420,14,428,9,17,21,14
cell_1421,20,26,5,12,866,13
cell_1422,7,41,489,6,20,6
cell_1423,19,6,45,1571,1,56
cell_1424,17,6,4,574,41,42
cell_1425,7,258,10,4,34,57
cell_1426,678,22,17,6,6,20
cell_1427,7,43,9,36,23,1513
cell_1428,26,11,27,22,20,949
cell_1429,20,1270,12,7,23,16
cell_1430,16,4,1478,13,23,51
cell_1431,1019,43,8,45,18,14
cell_1432,11,34,7,8,26,1465
cell_1433,33,21,24,7,2,11
cell_1434,11,7,644,20,38,22
cell_1435,55,9,30,798,13,11
cell_1436,22,1601,26,4,18,5
cell_1437,12,9,1,3,14,186
cell_1438,777,24,7,15,33,10
cell_1439,13,50,24,5,581,4
cell_1440,26,22,31,14,997,15
cell_1441,918,7,21,27,38,18
cell_1442,12,20,4,11,29,1767
cell_1443,8,16,17,1213,30,34
cell_1444,23,7,21,1254,73,22
cell_1445,388,9,15,13,2,53
cell_1446,55,26,627,17,49,37
cell_1447,52,7,33,46,1,1216
cell_1448,9,12,55,6,10,21
cell_1449,23,44,24,1319,3,5
cell_1450,13,1289,18,40,35,7
cell_1451,26,27,9,47,35,16
cell_1452,10,4,13,544,17,25
cell_1453,29,58,31,23,8,744
cell_1454,23,1452,31,13,5,48
cell_1455,85,23,9,91,39,834
cell_1456,19,28,1657,13,15,59
cell_1457,12,26,16,16,10,1286
cell_1458,9,24,1395,10,17,30
cell_1459,0,13,49,24,1216,35
cell_1460,61,14,8,1190,20,21
cell_1461,13,9,19,910,21,14
cell_1462,26,6,10,34,20,849
cell_1463,9,14,14,11,870,6
cell_1464,29,25,855,8,59,10
cell_1465,4,15,745,9,42,41
cell_1466,12,31,3,26,1002,33
cell_1467,804,9,39,26,29,18
cell_1468,35,7,19,6,741,3
cell_1469,1322,28,4,11,14,10
cell_1470,21,14,18,24,9,407
cell_1471,18,13,11,26,1163,9
cell_1472,11,9,1083,10,11,4
cell_1473,23,20,924,47,578,16
cell_1474,16,25,7,1381,656,28
cell_1475,1238,40,18,12,26,19
cell_1476,32,34,1741,5,7,28
cell_1477,20,13,43,16,9,377
cell_1478,22,1262,9,14,12,27
cell_1479,1770,22,2,544,1,16
cell_1480,8,686,36,6,8,8
cell_1481,12,6,694,15,31,22
cell_1482,25,40,10,916,13,1125
cell_1483,11,1052,5,14,43,12
cell_1484,23,5,8,2187,22,7
cell_1485,22,9,940,16,412,23
cell_1486,41,661,30,7,1,7
cell_1487,19,18,21,723,3,46
cell_1488,25,412,57,57,23,44
cell_1489,6,17,694,7,29,26
cell_1490,2,23,30,33,16,1318
cell_1491,12,32,37,775,17,14
cell_1492,3,51,15,1,18,1767
cell_1493,36,12,18,36,5,674
cell_1494,30,10,241,9,11,15
cell_1495,17,653,4,6,18,68
cell_1496,17,8,6,28,1,726
cell_1497,555,17,10,13,4,3
cell_1498,13,8,37,1013,19,12
cell_1499,11,21,34,695,14,16
cell_1500,10,2421,21,6,13,13
cell_1501,44,12,9,24,1347,3
cell_1502,16,14,35,9,21,25
cell_1503,4,25,19,29,681,5
cell_1504,1129,6,19,44,73,11
cell_1505,32,6,25,14,1273,30
cell_1506,1457,33,4,13,16,17
cell_1507,27,810,27,18,32,12
cell_1508,1142,25,39,3,16,23
cell_1509,38,60,895,10,6,18
cell_1510,2,13,30,18,12,34
cell_1511,12,829,6,15,42,18
cell_1512,40,648,31,16,27,1
cell_1513,11,23,999,18,90,15
cell_1514,8,7,7,1008,16,11
cell_1515,35,15,14,465,42,11
cell_1516,17,33,4,24,1042,7
cell_1517,15,1549,9,21,13,4
cell_1518,19,24,24,5,882,30
cell_1519,8,31,17,30,31,1132
cell_1520,16,686,21,33,25,2
cell_1521,16,11,32,7,396,13
cell_1522,757,8,21,33,10,6
cell_1523,5,40,12,563,3,19
cell_1524,35,55,9,60,39,620
cell_1525,5,22,481,14,12,16
cell_1526,9,5,1309,31,11,7
cell_1527,25,41,13,1611,14,14
cell_1528,21,27,1728,22,3,26
cell_1529,28,496,15,16,30,1185
cell_1530,13,8,28,1067,53,20
cell_1531,11,29,23,10,844,3
cell_1532,26,33,39,54,39,8
cell_1533,18,14,25,8,530,9
cell_1534,27,28,22,57,62,1407
cell_1535,9,26,8,24,3,779
cell_1536,1439,46,12,23,15,12
cell_1537,6,27,39,15,24,13
cell_1538,9,6,2204,4,3,3
cell_1539,25,776,9,6,9,13
cell_1540,1100,18,25,17,7,10
cell_1541,29,7,630,33,19,11
cell_1542,11,39,11,13,2,1619
cell_1543,372,17,20,38,51,39
cell_1544,616,7,1,28,18,31
cell_1545,1123,22,13,24,38,32
cell_1546,19,12,7,28,1,613
cell_1547,10,25,15,1515,32,7
cell_1548,23,2,26,492,5,26
cell_1549,48,1,27,2,4,808
cell_1550,29,14,5,28,846,15
cell_1551,23,43,14,755,6,12
cell_1552,18,16,18,1174,45,12
cell_1553,2,50,15,2312,34,24
cell_1554,35,679,21,0,18,15
cell_1555,5,10,1338,41,5,22
cell_1556,2,335,5,16,4,11
cell_1557,42,5,27,1004,15,58
cell_1558,31,756,27,18,54,10
cell_1559,2841,23,20,14,4,20
cell_1560,7,4,21,721,27,11
cell_1561,3,37,4,14,9,1636
cell_1562,12,1,62,1,41,2368
cell_1563,17,9,3,9,9,2
cell_1564,6,28,43,45,41,775
